inventory_id,product_id,warehouse_id,stock_quantity,reorder_level,last_updated
INV00037,PROD00037,WH-001,133,57,2025-03-06 14:43:35
INV00038,PROD00038,WH-004,9,33,2025-03-27 19:16:14
INV00039,PROD00039,WH-001,216,49,2025-04-06 14:28:45
INV00040,PROD00040,WH-004,212,55,2025-03-23 05:45:30
INV00041,PROD00041,WH-003,50,43,2025-04-06 07:54:51
INV00042,PROD00042,WH-004,84,18,2025-02-25 02:42:11
INV00043,PROD00043,WH-002,347,31,2025-02-11 03:07:50
INV00044,PROD00044,WH-002,14,77,2025-01-31 13:00:57
INV00045,PROD00045,WH-001,282,74,2025-03-22 08:37:58
INV00046,PROD00046,WH-001,424,61,2025-02-21 11:02:26
INV00047,PROD00047,WH-003,26,36,2025-01-02 20:18:10
INV00048,PROD00048,WH-004,290,19,2025-01-13 18:35:40
INV00049,PROD00049,WH-003,359,51,2025-03-18 15:15:45
INV00050,PROD00050,WH-004,75,21,2025-02-02 16:13:43
INV00051,PROD00051,WH-002,467,41,2025-04-12 11:52:10
INV00052,PROD00052,WH-001,164,12,2025-03-09 00:39:37
INV00053,PROD00053,WH-003,294,36,2025-01-12 04:13:56
INV00054,PROD00054,WH-003,217,16,2025-03-20 16:51:33
INV00055,PROD00055,WH-001,208,18,2025-01-08 08:44:56
INV00056,PROD00056,WH-001,91,19,2025-03-10 17:06:59
INV00057,PROD00057,WH-004,57,38,2025-02-05 00:41:18
INV00058,PROD00058,WH-003,260,37,2025-01-08 17:55:02
INV00059,PROD00059,WH-002,49,43,2025-01-09 19:57:12
INV00060,PROD00060,WH-002,5,53,2025-02-19 19:07:06
INV00061,PROD00061,WH-003,362,73,2025-02-16 18:10:39
INV00062,PROD00062,WH-001,241,70,2025-03-08 14:10:55
INV00063,PROD00063,WH-001,362,33,2025-04-14 19:40:29
INV00064,PROD00064,WH-002,385,53,2025-01-02 11:22:02
INV00065,PROD00065,WH-004,178,23,2025-04-06 08:18:52
INV00066,PROD00066,WH-003,418,34,2025-01-14 19:58:19
INV00067,PROD00067,WH-003,203,17,2025-01-22 10:44:01
INV00068,PROD00068,WH-002,403,37,2025-04-09 10:28:29
INV00069,PROD00069,WH-001,70,61,2025-04-08 19:05:03
INV00070,PROD00070,WH-002,472,50,2025-01-18 21:49:14
INV00071,PROD00071,WH-003,404,57,2025-03-22 10:06:56
INV00072,PROD00072,WH-004,413,55,2025-02-14 02:59:55
INV00073,PROD00073,WH-004,447,18,2025-01-17 17:15:56
INV00074,PROD00074,WH-003,117,76,2025-04-02 19:55:49
INV00075,PROD00075,WH-003,133,41,2025-04-14 08:08:18
INV00076,PROD00076,WH-001,187,45,2025-02-07 15:30:18
INV00077,PROD00077,WH-003,83,31,2025-04-05 12:15:45
INV00078,PROD00078,WH-001,431,75,2025-02-20 09:42:04
INV00079,PROD00079,WH-001,30,50,2025-03-05 01:50:52
INV00080,PROD00080,WH-003,148,13,2025-04-02 20:26:55
INV00081,PROD00081,WH-003,284,25,2025-02-21 09:53:55
INV00082,PROD00082,WH-001,83,42,2025-01-03 04:46:27
INV00083,PROD00083,WH-003,293,77,2025-02-10 08:10:07
INV00084,PROD00084,WH-004,349,52,2025-03-13 12:35:19
INV00085,PROD00085,WH-003,199,53,2025-01-27 17:36:30
INV00086,PROD00086,WH-002,336,32,2025-02-05 04:18:57
INV00087,PROD00087,WH-004,382,48,2025-03-04 23:25:12
INV00088,PROD00088,WH-002,485,68,2025-01-15 11:42:47
INV00089,PROD00089,WH-004,116,46,2025-04-02 12:42:00
INV00090,PROD00090,WH-002,450,50,2025-04-15 17:32:34
INV00091,PROD00091,WH-004,411,33,2025-02-13 10:18:18
INV00092,PROD00092,WH-001,494,14,2025-01-15 03:12:25
INV00093,PROD00093,WH-004,216,72,2025-02-15 12:36:37
INV00094,PROD00094,WH-001,435,19,2025-02-17 07:05:41
INV00095,PROD00095,WH-001,437,39,2025-02-21 03:28:19
INV00096,PROD00096,WH-001,115,77,2025-03-29 14:42:43
INV00097,PROD00097,WH-003,230,29,2025-01-23 02:05:42
INV00098,PROD00098,WH-003,172,37,2025-03-28 03:31:46
INV00099,PROD00099,WH-002,337,46,2025-04-01 23:40:40
INV00100,PROD00100,WH-003,123,30,2025-03-01 20:20:42
INV00101,PROD00101,WH-004,359,52,2025-01-08 13:31:02
INV00102,PROD00102,WH-001,194,71,2025-02-20 19:56:30
INV00103,PROD00103,WH-004,144,77,2025-01-06 20:50:37
INV00104,PROD00104,WH-002,144,22,2025-02-24 01:19:17
INV00105,PROD00105,WH-004,313,76,2025-02-18 21:44:04
INV00106,PROD00106,WH-004,302,77,2025-04-10 04:48:37
INV00107,PROD00107,WH-003,52,62,2025-03-25 04:26:08
INV00108,PROD00108,WH-004,471,45,2025-02-19 01:32:21
INV00109,PROD00109,WH-001,478,73,2025-02-25 09:55:09
INV00110,PROD00110,WH-001,121,78,2025-04-08 06:36:56
INV00111,PROD00111,WH-002,239,11,2025-01-27 23:23:46
INV00112,PROD00112,WH-003,11,74,2025-01-28 20:09:46
INV00113,PROD00113,WH-001,197,58,2025-01-25 11:13:52
INV00114,PROD00114,WH-001,259,61,2025-03-20 08:06:32
INV00115,PROD00115,WH-004,268,56,2025-01-23 03:54:00
INV00116,PROD00116,WH-003,473,14,2025-03-21 00:03:04
INV00117,PROD00117,WH-003,240,36,2025-04-10 14:25:08
INV00118,PROD00118,WH-004,393,72,2025-03-23 14:37:17
INV00119,PROD00119,WH-001,36,39,2025-01-14 22:08:13
INV00120,PROD00120,WH-003,380,28,2025-01-11 23:02:44
INV00121,PROD00121,WH-001,366,25,2025-02-18 06:05:22
INV00122,PROD00122,WH-002,377,45,2025-02-05 02:36:46
INV00123,PROD00123,WH-004,249,57,2025-03-13 14:08:08
INV00124,PROD00124,WH-001,231,51,2025-03-09 17:48:12
INV00125,PROD00125,WH-004,103,24,2025-02-12 01:10:00
INV00126,PROD00126,WH-003,455,43,2025-03-11 18:56:44
INV00127,PROD00127,WH-003,399,41,2025-02-25 10:02:09
INV00128,PROD00128,WH-002,419,50,2025-01-30 06:00:53
INV00129,PROD00129,WH-004,393,71,2025-01-08 15:35:08
INV00130,PROD00130,WH-004,72,18,2025-01-04 22:55:18
INV00131,PROD00131,WH-002,133,33,2025-02-27 13:15:04
INV00132,PROD00132,WH-004,322,35,2025-04-15 22:58:37
INV00133,PROD00133,WH-004,33,62,2025-01-03 09:39:02
INV00134,PROD00134,WH-001,470,27,2025-01-30 06:13:30
INV00135,PROD00135,WH-003,123,62,2025-03-18 18:07:52
INV00136,PROD00136,WH-002,95,10,2025-01-09 20:50:02
INV00137,PROD00137,WH-003,389,70,2025-02-05 12:38:50
INV00138,PROD00138,WH-003,50,56,2025-04-06 08:02:18
INV00139,PROD00139,WH-003,159,49,2025-02-03 19:38:45
INV00140,PROD00140,WH-001,257,20,2025-04-14 23:24:04
INV00141,PROD00141,WH-003,195,67,2025-03-13 06:00:55
INV00142,PROD00142,WH-001,188,26,2025-01-05 00:51:27
INV00143,PROD00143,WH-001,390,47,2025-04-03 21:59:39
INV00144,PROD00144,WH-001,166,60,2025-02-20 16:05:05
INV00145,PROD00145,WH-002,385,60,2025-01-31 06:35:33
INV00146,PROD00146,WH-001,136,51,2025-01-13 18:17:38
INV00147,PROD00147,WH-003,471,78,2025-04-09 06:42:30
INV00148,PROD00148,WH-003,390,66,2025-03-08 14:01:37
INV00149,PROD00149,WH-001,81,26,2025-04-04 01:32:09
INV00150,PROD00150,WH-002,53,72,2025-01-13 12:13:12
INV00151,PROD00151,WH-001,313,25,2025-04-13 23:17:56
INV00152,PROD00152,WH-003,124,71,2025-01-20 04:55:00
INV00153,PROD00153,WH-001,261,51,2025-02-06 10:16:55
INV00154,PROD00154,WH-002,331,77,2025-03-18 02:02:38
INV00155,PROD00155,WH-004,367,26,2025-03-05 01:57:46
INV00156,PROD00156,WH-003,487,72,2025-02-17 19:15:44
INV00157,PROD00157,WH-003,18,54,2025-02-02 16:30:18
INV00158,PROD00158,WH-001,354,67,2025-01-02 10:31:54
INV00159,PROD00159,WH-001,172,34,2025-03-30 13:08:38
INV00160,PROD00160,WH-004,324,62,2025-03-27 20:08:29
INV00161,PROD00161,WH-004,432,67,2025-03-06 23:12:58
INV00162,PROD00162,WH-004,180,55,2025-03-28 09:07:50
INV00163,PROD00163,WH-003,289,35,2025-02-15 06:35:08
INV00164,PROD00164,WH-002,271,73,2025-04-03 15:36:41
INV00165,PROD00165,WH-003,105,31,2025-01-13 07:11:58
INV00166,PROD00166,WH-002,315,22,2025-02-11 17:46:19
INV00167,PROD00167,WH-002,227,49,2025-01-30 22:13:11
INV00168,PROD00168,WH-003,196,40,2025-01-11 19:37:42
INV00169,PROD00169,WH-003,269,27,2025-03-19 01:17:47
INV00170,PROD00170,WH-003,326,42,2025-02-05 15:51:54
INV00171,PROD00171,WH-004,85,62,2025-03-30 05:50:33
INV00172,PROD00172,WH-004,441,76,2025-01-16 01:31:20
INV00173,PROD00173,WH-003,13,31,2025-02-03 10:59:34
INV00174,PROD00174,WH-003,276,65,2025-03-22 02:59:22
INV00175,PROD00175,WH-003,183,59,2025-02-06 20:41:42
INV00176,PROD00176,WH-004,25,43,2025-03-10 22:32:33
INV00177,PROD00177,WH-003,378,13,2025-03-18 08:50:59
INV00178,PROD00178,WH-003,120,76,2025-01-30 09:29:34
INV00179,PROD00179,WH-003,281,20,2025-03-18 00:21:09
INV00180,PROD00180,WH-001,26,35,2025-01-30 21:01:44
INV00181,PROD00181,WH-002,238,55,2025-01-22 05:45:03
INV00182,PROD00182,WH-002,232,11,2025-01-01 04:31:05
INV00183,PROD00183,WH-001,436,67,2025-04-03 00:03:30
INV00184,PROD00184,WH-003,206,17,2025-01-17 20:15:36
INV00185,PROD00185,WH-001,192,12,2025-04-05 22:48:42
INV00186,PROD00186,WH-001,75,12,2025-01-23 11:57:19
INV00187,PROD00187,WH-001,359,67,2025-01-28 23:56:47
INV00188,PROD00188,WH-004,143,62,2025-03-31 10:35:10
INV00189,PROD00189,WH-002,30,42,2025-04-09 09:14:54
INV00190,PROD00190,WH-003,368,57,2025-02-14 23:24:56
INV00191,PROD00191,WH-002,358,34,2025-01-06 11:29:34
INV00192,PROD00192,WH-004,462,28,2025-01-20 04:14:01
INV00193,PROD00193,WH-003,360,38,2025-02-08 01:12:24
INV00194,PROD00194,WH-003,288,73,2025-03-20 11:13:07
INV00195,PROD00195,WH-004,3,53,2025-01-04 02:11:48
INV00196,PROD00196,WH-001,495,25,2025-03-17 21:56:35
INV00197,PROD00197,WH-001,63,55,2025-03-11 02:11:11
INV00198,PROD00198,WH-003,169,21,2025-03-20 09:24:11
INV00199,PROD00199,WH-002,254,17,2025-03-27 09:51:06
INV00200,PROD00200,WH-002,418,23,2025-04-04 02:59:38
INV00201,PROD00201,WH-003,274,40,2025-04-02 06:16:39
INV00202,PROD00202,WH-001,132,15,2025-02-23 02:18:52
INV00203,PROD00203,WH-002,121,61,2025-02-20 05:27:17
INV00204,PROD00204,WH-002,225,23,2025-02-22 02:21:39
INV00205,PROD00205,WH-004,88,19,2025-04-10 11:11:21
INV00206,PROD00206,WH-004,434,70,2025-02-11 09:27:31
INV00207,PROD00207,WH-001,245,56,2025-01-19 20:38:43
INV00208,PROD00208,WH-003,303,32,2025-02-23 08:08:17
INV00209,PROD00209,WH-003,444,57,2025-04-05 05:50:06
INV00210,PROD00210,WH-003,299,13,2025-02-28 07:58:23
INV00211,PROD00211,WH-004,319,68,2025-03-31 21:02:32
INV00212,PROD00212,WH-004,13,58,2025-01-19 07:04:38
INV00213,PROD00213,WH-001,375,32,2025-01-21 12:33:01
INV00214,PROD00214,WH-001,13,50,2025-03-09 16:21:14
INV00215,PROD00215,WH-003,203,35,2025-01-06 23:44:14
INV00216,PROD00216,WH-002,28,46,2025-01-12 21:16:44
INV00217,PROD00217,WH-003,229,11,2025-02-17 06:23:31
INV00218,PROD00218,WH-003,215,27,2025-02-25 02:26:41
INV00219,PROD00219,WH-004,422,37,2025-03-06 07:25:09
INV00220,PROD00220,WH-004,369,42,2025-03-25 20:07:37
INV00221,PROD00221,WH-004,388,58,2025-01-25 20:31:29
INV00222,PROD00222,WH-003,110,25,2025-02-19 08:58:38
INV00223,PROD00223,WH-003,80,39,2025-02-23 10:11:41
INV00224,PROD00224,WH-002,236,13,2025-03-15 19:41:21
INV00225,PROD00225,WH-003,37,35,2025-01-05 12:10:21
INV00226,PROD00226,WH-002,148,34,2025-01-01 06:56:59
INV00227,PROD00227,WH-004,380,48,2025-02-14 23:28:37
INV00228,PROD00228,WH-004,96,76,2025-01-27 22:30:03
INV00229,PROD00229,WH-003,422,71,2025-01-18 20:04:26
INV00230,PROD00230,WH-003,238,18,2025-01-20 23:57:28
INV00231,PROD00231,WH-001,49,62,2025-02-20 12:42:44
INV00232,PROD00232,WH-003,39,28,2025-02-18 19:31:33
INV00233,PROD00233,WH-001,240,57,2025-03-31 15:01:36
INV00234,PROD00234,WH-003,155,39,2025-03-16 17:21:25
INV00235,PROD00235,WH-001,39,36,2025-02-04 12:00:06
INV00236,PROD00236,WH-004,247,40,2025-04-04 14:53:34
INV00237,PROD00237,WH-004,308,50,2025-03-20 16:40:15
INV00238,PROD00238,WH-002,467,35,2025-01-20 19:56:08
INV00239,PROD00239,WH-003,472,32,2025-01-12 00:30:54
INV00240,PROD00240,WH-001,484,71,2025-03-10 03:52:11
INV00241,PROD00241,WH-002,278,73,2025-01-05 02:31:37
INV00242,PROD00242,WH-001,312,13,2025-02-20 23:49:00
INV00243,PROD00243,WH-004,120,27,2025-03-30 00:55:53
INV00244,PROD00244,WH-003,124,16,2025-02-03 00:16:59
INV00245,PROD00245,WH-002,203,78,2025-01-03 13:52:00
INV00246,PROD00246,WH-004,306,58,2025-03-26 21:52:11
INV00247,PROD00247,WH-001,186,22,2025-01-22 10:46:53
INV00248,PROD00248,WH-002,159,57,2025-01-20 20:30:50
INV00249,PROD00249,WH-001,279,45,2025-03-03 17:19:18
INV00250,PROD00250,WH-004,377,21,2025-03-22 12:57:22
INV00251,PROD00251,WH-001,292,36,2025-02-27 20:05:05
INV00252,PROD00252,WH-004,269,19,2025-03-06 18:41:41
INV00253,PROD00253,WH-002,303,57,2025-03-21 19:44:21
INV00254,PROD00254,WH-001,101,20,2025-03-08 12:35:22
INV00255,PROD00255,WH-001,138,70,2025-02-04 18:16:50
INV00256,PROD00256,WH-004,309,31,2025-02-09 07:43:19
INV00257,PROD00257,WH-002,450,72,2025-03-08 17:54:57
INV00258,PROD00258,WH-004,257,63,2025-01-30 03:52:29
INV00259,PROD00259,WH-004,185,43,2025-03-08 18:28:54
INV00260,PROD00260,WH-002,168,58,2025-02-24 16:39:11
INV00261,PROD00261,WH-002,317,28,2025-03-24 11:46:29
INV00262,PROD00262,WH-004,322,80,2025-04-10 11:12:57
INV00263,PROD00263,WH-001,261,18,2025-02-10 03:13:02
INV00264,PROD00264,WH-004,255,61,2025-03-26 22:30:50
INV00265,PROD00265,WH-001,429,17,2025-04-15 19:15:23
INV00266,PROD00266,WH-003,324,64,2025-01-28 00:03:32
INV00267,PROD00267,WH-003,286,57,2025-01-28 04:06:55
INV00268,PROD00268,WH-001,185,65,2025-01-25 23:02:55
INV00269,PROD00269,WH-004,292,42,2025-03-14 22:49:30
INV00270,PROD00270,WH-004,139,44,2025-01-08 06:35:24
INV00271,PROD00271,WH-003,242,56,2025-02-01 19:45:08
INV00272,PROD00272,WH-004,175,34,2025-03-09 23:58:09
INV00273,PROD00273,WH-001,160,36,2025-02-13 02:24:33
INV00274,PROD00274,WH-004,281,50,2025-02-05 23:58:02
INV00275,PROD00275,WH-003,325,19,2025-02-06 03:42:32
INV00276,PROD00276,WH-004,197,22,2025-01-24 21:53:19
INV00277,PROD00277,WH-001,28,26,2025-02-13 14:39:08
INV00278,PROD00278,WH-003,95,14,2025-01-05 10:36:55
INV00279,PROD00279,WH-002,388,40,2025-01-31 16:22:38
INV00280,PROD00280,WH-001,470,38,2025-02-09 06:09:54
INV00281,PROD00281,WH-003,140,54,2025-02-01 20:00:11
INV00282,PROD00282,WH-001,338,52,2025-02-06 15:10:46
INV00283,PROD00283,WH-004,177,60,2025-02-19 17:31:57
INV00284,PROD00284,WH-002,362,21,2025-03-10 22:47:33
INV00285,PROD00285,WH-003,181,56,2025-01-08 07:26:13
INV00286,PROD00286,WH-002,86,30,2025-03-21 04:58:18
INV00287,PROD00287,WH-004,220,79,2025-01-15 16:19:50
INV00288,PROD00288,WH-002,69,25,2025-04-03 05:50:54
INV00289,PROD00289,WH-003,207,24,2025-02-04 23:03:08
INV00290,PROD00290,WH-004,132,62,2025-03-29 23:54:13
INV00291,PROD00291,WH-002,477,12,2025-02-18 12:02:51
INV00292,PROD00292,WH-001,221,51,2025-04-10 17:22:05
INV00293,PROD00293,WH-003,377,48,2025-01-28 07:31:46
INV00294,PROD00294,WH-002,128,25,2025-03-01 10:28:32
INV00295,PROD00295,WH-004,349,26,2025-02-10 20:24:11
INV00296,PROD00296,WH-004,423,79,2025-03-13 22:42:35
INV00297,PROD00297,WH-002,467,64,2025-01-24 01:40:18
INV00298,PROD00298,WH-001,355,68,2025-03-12 15:00:35
INV00299,PROD00299,WH-004,399,27,2025-01-14 20:54:21
INV00300,PROD00300,WH-001,363,48,2025-03-17 22:31:37
INV00301,PROD00301,WH-004,135,79,2025-01-15 03:02:46
INV00302,PROD00302,WH-003,48,70,2025-04-15 01:27:07
INV00303,PROD00303,WH-002,154,25,2025-02-07 02:11:29
INV00304,PROD00304,WH-001,227,34,2025-02-16 21:55:05
INV00305,PROD00305,WH-003,207,55,2025-01-10 09:04:26
INV00306,PROD00306,WH-002,431,80,2025-04-04 08:15:27
INV00307,PROD00307,WH-001,397,28,2025-01-14 21:01:35
INV00308,PROD00308,WH-002,289,13,2025-03-11 21:21:20
INV00309,PROD00309,WH-001,484,42,2025-02-24 20:56:00
INV00310,PROD00310,WH-002,234,18,2025-02-27 22:42:19
INV00311,PROD00311,WH-004,129,33,2025-02-11 11:20:55
INV00312,PROD00312,WH-001,376,60,2025-02-03 01:19:13
INV00313,PROD00313,WH-002,467,51,2025-02-07 09:28:39
INV00314,PROD00314,WH-003,434,78,2025-01-22 21:35:57
INV00315,PROD00315,WH-002,257,33,2025-02-09 17:51:39
INV00316,PROD00316,WH-001,251,62,2025-02-02 10:05:15
INV00317,PROD00317,WH-001,140,78,2025-01-05 18:18:19
INV00318,PROD00318,WH-004,140,37,2025-03-06 07:12:38
INV00319,PROD00319,WH-001,413,66,2025-04-03 10:37:58
INV00320,PROD00320,WH-002,77,51,2025-04-12 04:12:03
INV00321,PROD00321,WH-004,246,57,2025-03-26 12:55:25
INV00322,PROD00322,WH-002,115,16,2025-02-04 11:07:20
INV00323,PROD00323,WH-002,473,79,2025-03-11 19:37:14
INV00324,PROD00324,WH-003,298,22,2025-02-14 20:06:18
INV00325,PROD00325,WH-001,339,61,2025-03-13 15:44:11
INV00326,PROD00326,WH-003,286,22,2025-04-07 21:32:45
INV00327,PROD00327,WH-001,433,70,2025-03-11 03:13:15
INV00328,PROD00328,WH-001,241,61,2025-03-07 12:38:10
INV00329,PROD00329,WH-003,258,39,2025-01-19 20:25:42
INV00330,PROD00330,WH-001,313,80,2025-01-17 07:16:01
INV00331,PROD00331,WH-002,365,39,2025-02-13 01:20:26
INV00332,PROD00332,WH-003,372,48,2025-01-23 10:47:02
INV00333,PROD00333,WH-003,257,27,2025-04-15 14:43:54
INV00334,PROD00334,WH-001,4,22,2025-03-08 02:01:21
INV00335,PROD00335,WH-004,91,66,2025-01-16 03:36:27
INV00336,PROD00336,WH-002,64,35,2025-01-07 21:50:10
INV00337,PROD00337,WH-003,311,46,2025-03-17 07:29:08
INV00338,PROD00338,WH-002,335,80,2025-03-29 02:57:41
INV00339,PROD00339,WH-002,472,10,2025-03-25 06:53:45
INV00340,PROD00340,WH-002,36,47,2025-04-03 23:59:02
INV00341,PROD00341,WH-003,283,29,2025-03-23 15:48:44
INV00342,PROD00342,WH-004,30,75,2025-01-23 15:29:04
INV00343,PROD00343,WH-003,160,38,2025-03-13 11:39:54
INV00344,PROD00344,WH-003,310,67,2025-01-23 19:10:57
INV00345,PROD00345,WH-002,61,16,2025-04-02 22:27:18
INV00346,PROD00346,WH-003,118,24,2025-03-04 16:19:05
INV00347,PROD00347,WH-004,337,22,2025-03-13 01:13:03
INV00348,PROD00348,WH-001,491,29,2025-03-24 23:50:39
INV00349,PROD00349,WH-001,285,35,2025-03-23 04:28:51
INV00350,PROD00350,WH-003,37,24,2025-03-27 13:45:49
INV00351,PROD00351,WH-004,164,38,2025-03-29 12:31:08
INV00352,PROD00352,WH-002,159,64,2025-02-23 20:32:34
INV00353,PROD00353,WH-002,279,36,2025-01-18 07:03:22
INV00354,PROD00354,WH-001,141,15,2025-01-04 05:22:44
INV00355,PROD00355,WH-001,154,22,2025-04-03 14:35:04
INV00356,PROD00356,WH-001,333,45,2025-04-06 15:20:32
INV00357,PROD00357,WH-003,491,38,2025-02-18 03:15:59
INV00358,PROD00358,WH-003,234,65,2025-04-12 13:05:26
INV00359,PROD00359,WH-001,128,35,2025-01-02 07:17:49
INV00360,PROD00360,WH-003,380,45,2025-02-02 11:51:14
INV00361,PROD00361,WH-001,176,26,2025-03-31 15:07:21
INV00362,PROD00362,WH-004,437,45,2025-03-12 04:59:27
INV00363,PROD00363,WH-004,368,79,2025-03-25 15:15:48
INV00364,PROD00364,WH-001,162,70,2025-03-22 03:11:03
INV00365,PROD00365,WH-001,310,15,2025-01-17 06:16:58
INV00366,PROD00366,WH-004,125,25,2025-02-20 16:06:22
INV00367,PROD00367,WH-003,306,54,2025-01-15 18:43:13
INV00368,PROD00368,WH-004,272,47,2025-02-23 00:50:34
INV00369,PROD00369,WH-004,364,58,2025-02-23 02:08:02
INV00370,PROD00370,WH-003,441,31,2025-03-10 12:38:23
INV00371,PROD00371,WH-003,112,20,2025-03-11 09:00:01
INV00372,PROD00372,WH-002,101,29,2025-04-10 11:12:39
INV00373,PROD00373,WH-003,460,72,2025-01-19 06:00:17
INV00374,PROD00374,WH-002,197,57,2025-03-27 05:46:10
INV00375,PROD00375,WH-002,480,75,2025-01-20 18:22:12
INV00376,PROD00376,WH-004,442,15,2025-03-23 07:36:12
INV00377,PROD00377,WH-003,39,29,2025-01-11 18:59:00
INV00378,PROD00378,WH-004,207,57,2025-01-13 03:31:32
INV00379,PROD00379,WH-001,3,48,2025-02-06 04:49:29
INV00380,PROD00380,WH-004,313,69,2025-03-11 02:40:16
INV00381,PROD00381,WH-003,136,56,2025-04-01 00:20:00
INV00382,PROD00382,WH-001,274,41,2025-01-12 11:14:07
INV00383,PROD00383,WH-001,217,31,2025-01-14 07:16:26
INV00384,PROD00384,WH-002,109,29,2025-02-16 00:38:31
INV00385,PROD00385,WH-002,109,25,2025-01-18 10:57:48
INV00386,PROD00386,WH-004,370,74,2025-01-14 11:03:21
INV00387,PROD00387,WH-003,353,46,2025-01-11 14:14:19
INV00388,PROD00388,WH-003,180,20,2025-04-05 11:19:30
INV00389,PROD00389,WH-001,205,10,2025-03-23 03:54:09
INV00390,PROD00390,WH-002,394,78,2025-02-02 14:22:04
INV00391,PROD00391,WH-004,145,72,2025-02-06 22:49:02
INV00392,PROD00392,WH-001,212,38,2025-01-23 00:09:44
INV00393,PROD00393,WH-004,415,21,2025-03-10 13:38:40
INV00394,PROD00394,WH-001,392,37,2025-03-23 07:37:48
INV00395,PROD00395,WH-004,282,28,2025-01-05 05:01:40
INV00396,PROD00396,WH-002,24,40,2025-02-06 15:19:04
INV00397,PROD00397,WH-001,176,54,2025-03-31 20:36:46
INV00398,PROD00398,WH-002,18,53,2025-03-23 13:06:47
INV00399,PROD00399,WH-004,32,27,2025-02-19 05:07:40
INV00400,PROD00400,WH-002,57,54,2025-01-17 01:34:30
INV00401,PROD00401,WH-001,183,10,2025-04-10 05:42:09
INV00402,PROD00402,WH-004,225,15,2025-01-27 15:48:21
INV00403,PROD00403,WH-003,0,38,2025-01-26 06:45:34
INV00404,PROD00404,WH-004,133,57,2025-04-02 17:47:02
INV00405,PROD00405,WH-003,132,46,2025-04-12 04:35:28
INV00406,PROD00406,WH-004,173,53,2025-03-15 14:56:08
INV00407,PROD00407,WH-002,288,20,2025-01-26 07:25:27
INV00408,PROD00408,WH-001,378,68,2025-02-11 15:08:23
INV00409,PROD00409,WH-004,432,42,2025-01-30 01:50:33
INV00410,PROD00410,WH-002,242,75,2025-01-14 12:54:17
INV00411,PROD00411,WH-003,300,16,2025-02-10 12:31:31
INV00412,PROD00412,WH-004,102,32,2025-01-24 23:00:54
INV00413,PROD00413,WH-003,105,25,2025-01-01 22:05:49
INV00414,PROD00414,WH-004,200,15,2025-02-23 17:03:57
INV00415,PROD00415,WH-003,398,55,2025-03-30 13:05:31
INV00416,PROD00416,WH-003,0,74,2025-01-27 12:07:16
INV00417,PROD00417,WH-002,311,19,2025-04-06 09:38:15
INV00418,PROD00418,WH-002,391,18,2025-02-22 06:51:26
INV00419,PROD00419,WH-004,304,23,2025-02-23 04:35:04
INV00420,PROD00420,WH-004,84,61,2025-04-09 14:19:35
INV00421,PROD00421,WH-002,363,45,2025-01-22 11:01:49
INV00422,PROD00422,WH-004,103,74,2025-01-03 06:28:11
