order_id,customer_id,order_date,order_status,payment_method,shipping_city,shipping_state,shipping_country
ORD000021,CUST04671,2024-03-18 15:26:07,Delivered,Debit Card,San Jose,CA,United States
ORD000022,CUST00499,2024-01-26 05:15:38,Delivered,Apple Pay,Tacoma,WA,United States
ORD000023,CUST01834,2025-01-21 22:18:42,Shipped,Debit Card,Spokane,WA,United States
ORD000024,CUST03265,2024-09-24 21:08:53,Shipped,Debit Card,Albany,NY,United States
ORD000025,CUST01164,2024-05-07 12:06:37,Delivered,Debit Card,Rochester,NY,United States
ORD000026,CUST01709,2024-05-28 06:25:35,Delivered,PayPal,Bellevue,WA,United States
ORD000027,CUST01264,2024-07-28 22:58:49,Delivered,Credit Card,Naperville,IL,United States
ORD000028,CUST03640,2025-02-16 19:35:55,Processing,Apple Pay,Rochester,NY,United States
ORD000029,CUST04721,2024-08-12 09:38:23,Processing,Debit Card,Springfield,IL,United States
ORD000030,CUST02100,2024-03-12 14:07:24,Delivered,Debit Card,Austin,TX,United States
ORD000031,CUST04327,2024-10-01 09:58:00,Shipped,Credit Card,Alexandria,VA,United States
ORD000032,CUST04512,2024-06-27 17:19:24,Shipped,Apple Pay,Miami,FL,United States
ORD000033,CUST00068,2024-01-14 21:04:43,Delivered,Apple Pay,San Diego,CA,United States
ORD000034,CUST04123,2025-01-21 17:00:32,Shipped,PayPal,San Francisco,CA,United States
ORD000035,CUST04092,2025-01-04 20:53:38,Delivered,Apple Pay,Alexandria,VA,United States
ORD000036,CUST01113,2024-08-23 13:13:40,Shipped,Apple Pay,Tacoma,WA,United States
ORD000037,CUST00081,2024-02-29 15:49:55,Delivered,Credit Card,Rochester,NY,United States
ORD000038,CUST00663,2024-06-27 13:19:25,Delivered,PayPal,Bellevue,WA,United States
ORD000039,CUST03573,2024-06-22 06:39:11,Delivered,Debit Card,Alexandria,VA,United States
ORD000040,CUST02291,2025-01-27 03:03:19,Delivered,PayPal,Albany,NY,United States
ORD000041,CUST01631,2024-04-16 01:53:08,Delivered,Credit Card,Orlando,FL,United States
ORD000042,CUST00534,2024-01-07 15:42:22,Shipped,Debit Card,San Diego,CA,United States
ORD000043,CUST03079,2024-10-22 21:53:11,Delivered,Debit Card,Seattle,WA,United States
ORD000044,CUST04256,2024-10-25 21:56:10,Shipped,Apple Pay,Richmond,VA,United States
ORD000045,CUST02955,2024-03-14 02:43:13,Delivered,Credit Card,Rochester,NY,United States
ORD000046,CUST04476,2024-06-30 19:14:04,Delivered,PayPal,Alexandria,VA,United States
ORD000047,CUST03506,2024-06-29 11:12:30,Delivered,Debit Card,Houston,TX,United States
ORD000048,CUST00388,2025-03-02 13:31:36,Delivered,Credit Card,Albany,NY,United States
ORD000049,CUST03417,2024-07-21 22:52:42,Delivered,Apple Pay,Miami,FL,United States
ORD000050,CUST04406,2024-10-21 07:44:46,Shipped,Apple Pay,Spokane,WA,United States
ORD000051,CUST04863,2024-01-22 06:56:34,Delivered,Debit Card,Orlando,FL,United States
ORD000052,CUST00150,2024-10-30 04:32:31,Delivered,Apple Pay,Dallas,TX,United States
ORD000053,CUST00403,2024-03-07 15:54:19,Delivered,Debit Card,Richmond,VA,United States
ORD000054,CUST02043,2024-01-04 22:17:05,Processing,Debit Card,Buffalo,NY,United States
ORD000055,CUST04021,2024-09-30 00:28:32,Delivered,Apple Pay,Dallas,TX,United States
ORD000056,CUST02621,2024-07-25 20:06:52,Delivered,Credit Card,Richmond,VA,United States
ORD000057,CUST03844,2025-03-02 13:33:40,Processing,Credit Card,Rochester,NY,United States
ORD000058,CUST04453,2024-12-18 12:07:29,Delivered,Credit Card,San Jose,CA,United States
ORD000059,CUST02243,2024-11-13 03:52:55,Shipped,Credit Card,Seattle,WA,United States
ORD000060,CUST03721,2024-02-17 01:17:37,Delivered,Apple Pay,San Francisco,CA,United States
ORD000061,CUST03269,2024-04-22 18:07:04,Processing,Apple Pay,San Jose,CA,United States
ORD000062,CUST04597,2024-02-22 15:34:43,Delivered,Apple Pay,San Diego,CA,United States
ORD000063,CUST01786,2024-12-30 12:12:08,Delivered,Credit Card,San Diego,CA,United States
ORD000064,CUST00896,2024-08-15 00:10:31,Delivered,PayPal,Jacksonville,FL,United States
ORD000065,CUST00624,2024-11-08 14:49:47,Delivered,Debit Card,Miami,FL,United States
ORD000066,CUST02574,2024-12-22 18:02:36,Delivered,Apple Pay,Virginia Beach,VA,United States
ORD000067,CUST03337,2024-06-23 15:59:38,Delivered,Credit Card,Miami,FL,United States
ORD000068,CUST01033,2024-05-28 03:48:13,Delivered,Debit Card,Seattle,WA,United States
ORD000069,CUST02011,2024-09-09 12:43:35,Shipped,Credit Card,Austin,TX,United States
ORD000070,CUST02262,2024-08-10 03:58:29,Delivered,PayPal,San Francisco,CA,United States
ORD000071,CUST03486,2024-09-22 09:50:06,Delivered,Credit Card,San Antonio,TX,United States
ORD000072,CUST04701,2024-07-10 17:32:46,Delivered,PayPal,Buffalo,NY,United States
ORD000073,CUST01743,2024-07-15 19:59:24,Delivered,Apple Pay,Rochester,NY,United States
ORD000074,CUST01977,2024-09-23 18:52:51,Processing,Apple Pay,Rochester,NY,United States
ORD000075,CUST02554,2025-01-05 14:01:24,Delivered,PayPal,Austin,TX,United States
ORD000076,CUST00022,2024-05-13 13:01:13,Shipped,Credit Card,Virginia Beach,VA,United States
ORD000077,CUST01891,2024-04-18 01:55:15,Delivered,Apple Pay,Alexandria,VA,United States
ORD000078,CUST03161,2025-03-31 01:37:57,Delivered,Credit Card,Spokane,WA,United States
ORD000079,CUST00430,2025-02-10 12:31:25,Processing,Apple Pay,Buffalo,NY,United States
ORD000080,CUST03559,2024-05-31 05:16:54,Delivered,Apple Pay,Seattle,WA,United States
ORD000081,CUST03756,2024-03-21 17:00:17,Delivered,Credit Card,Springfield,IL,United States
ORD000082,CUST00730,2024-12-25 07:17:09,Delivered,Apple Pay,San Diego,CA,United States
ORD000083,CUST04712,2024-12-03 06:40:06,Delivered,PayPal,Austin,TX,United States
ORD000084,CUST02615,2024-10-20 10:56:41,Delivered,Debit Card,San Diego,CA,United States
ORD000085,CUST03648,2024-08-22 12:56:18,Delivered,PayPal,Tampa,FL,United States
ORD000086,CUST04204,2024-12-10 22:29:52,Shipped,Apple Pay,Springfield,IL,United States
ORD000087,CUST01722,2024-02-11 00:07:06,Delivered,Debit Card,Los Angeles,CA,United States
ORD000088,CUST04226,2024-09-09 12:58:38,Shipped,PayPal,Rochester,NY,United States
ORD000089,CUST02717,2025-01-21 16:31:55,Delivered,Debit Card,Dallas,TX,United States
ORD000090,CUST02039,2025-01-21 12:21:55,Delivered,Credit Card,San Jose,CA,United States
ORD000091,CUST04630,2025-02-18 05:31:15,Cancelled,PayPal,Rochester,NY,United States
ORD000092,CUST01146,2024-04-17 21:11:40,Delivered,PayPal,San Diego,CA,United States
ORD000093,CUST04885,2024-09-19 08:10:20,Delivered,Debit Card,Virginia Beach,VA,United States
ORD000094,CUST01046,2024-02-28 10:44:22,Delivered,Debit Card,San Antonio,TX,United States
ORD000095,CUST01022,2024-11-23 12:51:02,Shipped,Credit Card,New York,NY,United States
ORD000096,CUST01558,2024-06-21 12:56:13,Shipped,Apple Pay,Houston,TX,United States
ORD000097,CUST04610,2024-12-27 06:51:17,Delivered,PayPal,Tampa,FL,United States
ORD000098,CUST01325,2024-11-18 13:52:12,Delivered,Debit Card,San Francisco,CA,United States
ORD000099,CUST04376,2024-08-09 18:31:33,Delivered,Credit Card,New York,NY,United States
ORD000100,CUST00887,2024-10-18 23:31:22,Delivered,PayPal,Virginia Beach,VA,United States
ORD000101,CUST02678,2024-09-23 14:26:03,Processing,Apple Pay,Albany,NY,United States
ORD000102,CUST04859,2024-11-05 14:37:49,Delivered,Apple Pay,Norfolk,VA,United States
ORD000103,CUST03319,2024-06-30 03:04:00,Delivered,PayPal,Orlando,FL,United States
ORD000104,CUST01679,2024-12-14 02:00:13,Cancelled,Debit Card,Buffalo,NY,United States
ORD000105,CUST04272,2024-06-02 07:25:13,Delivered,Debit Card,Rochester,NY,United States
ORD000106,CUST02832,2024-12-28 19:57:35,Delivered,Apple Pay,Springfield,IL,United States
ORD000107,CUST02233,2024-01-25 23:47:06,Delivered,Credit Card,Virginia Beach,VA,United States
ORD000108,CUST00649,2024-12-26 08:48:57,Shipped,Apple Pay,Norfolk,VA,United States
ORD000109,CUST03705,2024-03-10 11:39:38,Shipped,Debit Card,San Diego,CA,United States
ORD000110,CUST01037,2024-05-09 00:57:09,Delivered,Credit Card,Bellevue,WA,United States
ORD000111,CUST03544,2024-09-14 06:26:30,Delivered,Credit Card,Virginia Beach,VA,United States
ORD000112,CUST03148,2024-07-18 04:28:32,Processing,Debit Card,Spokane,WA,United States
ORD000113,CUST04981,2025-01-25 17:02:27,Delivered,Credit Card,New York,NY,United States
ORD000114,CUST01109,2024-12-09 12:45:12,Processing,Debit Card,Austin,TX,United States
ORD000115,CUST04034,2024-03-11 01:17:30,Shipped,PayPal,Miami,FL,United States
ORD000116,CUST04714,2025-02-17 15:08:08,Delivered,PayPal,Peoria,IL,United States
ORD000117,CUST02923,2024-02-16 21:39:27,Delivered,Debit Card,Springfield,IL,United States
ORD000118,CUST04858,2025-03-26 22:23:15,Delivered,Debit Card,Albany,NY,United States
ORD000119,CUST01698,2024-07-24 11:08:44,Delivered,Debit Card,San Diego,CA,United States
ORD000120,CUST01773,2025-03-01 11:14:34,Delivered,PayPal,Austin,TX,United States
ORD000121,CUST04884,2025-03-10 14:47:38,Delivered,Apple Pay,Alexandria,VA,United States
ORD000122,CUST00626,2024-06-14 10:13:36,Delivered,PayPal,Rochester,NY,United States
ORD000123,CUST00172,2024-04-07 23:41:33,Delivered,Credit Card,Bellevue,WA,United States
ORD000124,CUST00608,2024-04-05 14:47:24,Processing,PayPal,Albany,NY,United States
ORD000125,CUST03927,2024-11-18 06:46:08,Delivered,Apple Pay,Norfolk,VA,United States
ORD000126,CUST04596,2025-01-12 20:01:49,Processing,Credit Card,Austin,TX,United States
ORD000127,CUST04425,2024-06-29 04:21:19,Delivered,Apple Pay,Miami,FL,United States
ORD000128,CUST03264,2024-01-15 15:14:43,Delivered,Debit Card,Naperville,IL,United States
ORD000129,CUST00694,2025-01-20 00:23:32,Delivered,Apple Pay,Bellevue,WA,United States
ORD000130,CUST03470,2024-10-18 00:32:37,Delivered,Debit Card,Springfield,IL,United States
ORD000131,CUST01139,2024-04-29 19:13:47,Delivered,PayPal,Jacksonville,FL,United States
ORD000132,CUST00375,2025-02-08 07:27:04,Delivered,Debit Card,Tacoma,WA,United States
ORD000133,CUST01976,2024-11-16 22:34:30,Delivered,Apple Pay,Austin,TX,United States
ORD000134,CUST03585,2024-09-30 05:41:36,Delivered,Credit Card,Tampa,FL,United States
ORD000135,CUST04170,2024-07-11 12:20:08,Delivered,Debit Card,New York,NY,United States
ORD000136,CUST03131,2024-09-27 02:21:05,Delivered,PayPal,New York,NY,United States
ORD000137,CUST00413,2024-03-29 21:29:14,Delivered,Credit Card,Virginia Beach,VA,United States
ORD000138,CUST00690,2024-10-23 20:00:51,Delivered,Credit Card,Richmond,VA,United States
ORD000139,CUST01959,2025-03-09 06:13:08,Delivered,Debit Card,Alexandria,VA,United States
ORD000140,CUST02161,2025-01-25 04:03:31,Shipped,Apple Pay,Virginia Beach,VA,United States
ORD000141,CUST03347,2025-02-18 06:30:45,Delivered,Credit Card,Tacoma,WA,United States
ORD000142,CUST02623,2024-09-04 10:42:48,Delivered,Debit Card,Austin,TX,United States
ORD000143,CUST00686,2025-02-14 15:42:55,Delivered,Apple Pay,Dallas,TX,United States
ORD000144,CUST02278,2024-12-31 15:47:29,Delivered,PayPal,San Antonio,TX,United States
ORD000145,CUST02793,2024-12-16 04:23:50,Shipped,PayPal,Virginia Beach,VA,United States
ORD000146,CUST00769,2024-05-26 13:58:49,Delivered,Debit Card,New York,NY,United States
ORD000147,CUST04407,2024-02-28 05:07:06,Shipped,PayPal,Tacoma,WA,United States
ORD000148,CUST04545,2024-10-11 09:59:59,Processing,Apple Pay,San Francisco,CA,United States
ORD000149,CUST04357,2024-04-27 11:11:01,Delivered,Apple Pay,Springfield,IL,United States
ORD000150,CUST02094,2024-08-30 08:28:06,Cancelled,Credit Card,San Jose,CA,United States
ORD000151,CUST04188,2024-03-29 11:19:29,Delivered,Credit Card,Jacksonville,FL,United States
ORD000152,CUST02685,2024-10-15 15:01:33,Delivered,Credit Card,Austin,TX,United States
ORD000153,CUST04309,2025-01-03 22:10:31,Delivered,PayPal,Bellevue,WA,United States
ORD000154,CUST03187,2025-03-15 14:12:23,Delivered,Credit Card,Peoria,IL,United States
ORD000155,CUST04004,2024-03-05 19:19:50,Delivered,Credit Card,Virginia Beach,VA,United States
ORD000156,CUST01145,2024-04-25 10:13:23,Delivered,PayPal,Houston,TX,United States
ORD000157,CUST02533,2024-09-12 16:47:31,Delivered,Debit Card,Tampa,FL,United States
ORD000158,CUST01291,2025-03-18 07:03:11,Delivered,Credit Card,Peoria,IL,United States
ORD000159,CUST03470,2025-02-25 19:11:18,Processing,Debit Card,Springfield,IL,United States
ORD000160,CUST03944,2024-01-21 13:19:56,Shipped,Credit Card,Springfield,IL,United States
ORD000161,CUST02280,2024-02-21 15:35:49,Delivered,Apple Pay,Miami,FL,United States
ORD000162,CUST04313,2025-01-28 20:38:00,Delivered,PayPal,San Francisco,CA,United States
ORD000163,CUST01947,2024-04-06 12:38:30,Processing,PayPal,Virginia Beach,VA,United States
ORD000164,CUST03532,2024-12-10 23:08:43,Delivered,Debit Card,Seattle,WA,United States
ORD000165,CUST01320,2024-10-30 21:57:05,Processing,Apple Pay,Dallas,TX,United States
ORD000166,CUST01780,2024-01-05 20:34:28,Delivered,Credit Card,Chicago,IL,United States
ORD000167,CUST03444,2024-06-25 20:10:32,Delivered,Credit Card,Chicago,IL,United States
ORD000168,CUST03545,2024-06-19 00:00:53,Delivered,PayPal,Spokane,WA,United States
ORD000169,CUST03236,2024-11-05 02:28:32,Shipped,Credit Card,San Jose,CA,United States
ORD000170,CUST03347,2024-10-27 15:05:50,Delivered,Debit Card,Tacoma,WA,United States
ORD000171,CUST01474,2024-12-18 14:00:27,Delivered,PayPal,Spokane,WA,United States
ORD000172,CUST02113,2024-06-16 05:57:56,Shipped,Apple Pay,Orlando,FL,United States
ORD000173,CUST03871,2024-06-21 12:18:18,Delivered,Apple Pay,Naperville,IL,United States
ORD000174,CUST03158,2024-08-14 18:48:31,Cancelled,PayPal,San Antonio,TX,United States
ORD000175,CUST04727,2024-04-12 19:08:05,Delivered,Apple Pay,Norfolk,VA,United States
ORD000176,CUST04407,2025-03-15 11:16:27,Delivered,Debit Card,Tacoma,WA,United States
ORD000177,CUST01450,2024-06-08 17:17:07,Delivered,Debit Card,Spokane,WA,United States
ORD000178,CUST04674,2024-01-06 08:48:26,Delivered,PayPal,Los Angeles,CA,United States
ORD000179,CUST02637,2024-05-31 21:53:34,Delivered,Apple Pay,Tacoma,WA,United States
ORD000180,CUST01542,2024-01-30 17:11:39,Delivered,Credit Card,Spokane,WA,United States
ORD000181,CUST04104,2025-03-08 10:09:19,Delivered,Apple Pay,Seattle,WA,United States
ORD000182,CUST00968,2024-02-17 01:26:34,Delivered,PayPal,Naperville,IL,United States
ORD000183,CUST04837,2024-12-25 12:30:14,Delivered,Credit Card,San Jose,CA,United States
ORD000184,CUST02822,2024-08-06 13:55:00,Shipped,Credit Card,Rochester,NY,United States
ORD000185,CUST03695,2024-06-12 19:41:07,Delivered,Debit Card,Richmond,VA,United States
ORD000186,CUST01859,2024-11-24 17:24:26,Shipped,Credit Card,Dallas,TX,United States
ORD000187,CUST02996,2024-08-03 17:53:46,Delivered,PayPal,San Antonio,TX,United States
ORD000188,CUST00289,2025-03-30 17:43:14,Delivered,Apple Pay,Spokane,WA,United States
ORD000189,CUST04766,2024-04-01 10:05:11,Delivered,Debit Card,Peoria,IL,United States
ORD000190,CUST04272,2024-09-08 07:33:56,Delivered,Credit Card,Rochester,NY,United States
ORD000191,CUST03652,2024-12-03 02:48:58,Cancelled,Credit Card,San Jose,CA,United States
ORD000192,CUST04658,2024-08-02 01:59:38,Processing,Apple Pay,Alexandria,VA,United States
ORD000193,CUST00571,2024-07-26 07:37:05,Delivered,Apple Pay,Austin,TX,United States
ORD000194,CUST01913,2024-12-30 18:58:43,Delivered,Apple Pay,Tampa,FL,United States
ORD000195,CUST02580,2025-02-07 03:56:01,Processing,PayPal,Naperville,IL,United States
ORD000196,CUST01352,2024-04-04 14:06:51,Delivered,Debit Card,Naperville,IL,United States
ORD000197,CUST01603,2024-06-11 04:10:39,Delivered,Debit Card,Buffalo,NY,United States
ORD000198,CUST00662,2024-09-13 01:49:38,Delivered,Credit Card,Houston,TX,United States
ORD000199,CUST02949,2024-08-16 17:41:26,Delivered,Debit Card,New York,NY,United States
ORD000200,CUST00544,2024-10-08 23:06:15,Delivered,Apple Pay,Rochester,NY,United States
ORD000201,CUST04074,2024-04-15 05:01:55,Delivered,Apple Pay,Los Angeles,CA,United States
ORD000202,CUST02126,2024-06-02 14:17:09,Shipped,PayPal,Norfolk,VA,United States
ORD000203,CUST01626,2024-01-28 15:10:14,Delivered,Apple Pay,Bellevue,WA,United States
ORD000204,CUST03186,2024-05-04 02:59:21,Delivered,PayPal,Miami,FL,United States
ORD000205,CUST04646,2025-02-27 01:36:44,Delivered,Credit Card,Tampa,FL,United States
ORD000206,CUST00607,2024-06-23 23:52:40,Delivered,Debit Card,Naperville,IL,United States
ORD000207,CUST01884,2024-09-07 00:17:09,Delivered,Apple Pay,Naperville,IL,United States
ORD000208,CUST04174,2025-01-17 10:26:49,Delivered,Apple Pay,San Antonio,TX,United States
ORD000209,CUST02900,2025-02-19 09:22:36,Delivered,Apple Pay,Seattle,WA,United States
ORD000210,CUST01136,2024-05-18 07:30:05,Delivered,Debit Card,Alexandria,VA,United States
ORD000211,CUST04108,2024-09-13 22:20:05,Delivered,Debit Card,Bellevue,WA,United States
ORD000212,CUST02703,2024-08-27 00:45:18,Shipped,Apple Pay,Dallas,TX,United States
ORD000213,CUST01528,2025-03-06 10:55:38,Delivered,PayPal,Norfolk,VA,United States
ORD000214,CUST03402,2025-02-13 19:09:59,Shipped,Debit Card,Miami,FL,United States
ORD000215,CUST03172,2025-02-15 10:45:54,Delivered,Apple Pay,Norfolk,VA,United States
ORD000216,CUST00816,2025-02-17 00:27:26,Shipped,Credit Card,Rochester,NY,United States
ORD000217,CUST01536,2024-12-21 17:14:28,Delivered,Debit Card,Dallas,TX,United States
ORD000218,CUST00255,2024-09-07 09:04:51,Delivered,Apple Pay,Orlando,FL,United States
ORD000219,CUST00959,2024-10-15 14:44:03,Shipped,PayPal,Los Angeles,CA,United States
ORD000220,CUST00219,2024-03-29 02:39:47,Processing,Credit Card,San Francisco,CA,United States
ORD000221,CUST01926,2024-10-21 13:05:02,Delivered,Credit Card,Houston,TX,United States
ORD000222,CUST03662,2024-02-29 00:33:52,Processing,PayPal,New York,NY,United States
ORD000223,CUST03431,2024-06-14 02:07:19,Shipped,PayPal,Chicago,IL,United States
ORD000224,CUST00128,2024-07-20 07:15:15,Delivered,Apple Pay,Chicago,IL,United States
ORD000225,CUST00722,2024-12-04 15:33:48,Delivered,PayPal,Jacksonville,FL,United States
ORD000226,CUST00984,2024-05-22 06:02:14,Shipped,PayPal,Houston,TX,United States
ORD000227,CUST00111,2025-03-04 03:59:43,Delivered,Apple Pay,Los Angeles,CA,United States
ORD000228,CUST01479,2024-03-16 11:50:13,Shipped,Debit Card,Peoria,IL,United States
ORD000229,CUST02700,2024-01-23 04:12:32,Delivered,Credit Card,Tacoma,WA,United States
ORD000230,CUST04340,2024-07-14 05:55:22,Delivered,PayPal,Bellevue,WA,United States
ORD000231,CUST03186,2024-04-25 03:08:17,Cancelled,PayPal,Miami,FL,United States
ORD000232,CUST01737,2024-02-26 18:31:51,Processing,Debit Card,San Jose,CA,United States
ORD000233,CUST03180,2024-10-01 23:14:10,Delivered,Credit Card,San Francisco,CA,United States
ORD000234,CUST02529,2024-03-31 22:25:58,Delivered,Apple Pay,San Francisco,CA,United States
ORD000235,CUST00387,2024-08-04 13:09:23,Delivered,Credit Card,Buffalo,NY,United States
ORD000236,CUST01352,2024-11-27 23:35:37,Delivered,PayPal,Naperville,IL,United States
ORD000237,CUST02945,2024-07-15 14:40:12,Processing,Credit Card,Virginia Beach,VA,United States
ORD000238,CUST01063,2025-03-18 03:09:57,Shipped,Apple Pay,Miami,FL,United States
ORD000239,CUST03092,2024-04-11 04:06:35,Cancelled,Debit Card,New York,NY,United States
ORD000240,CUST02292,2024-12-07 06:10:27,Delivered,Apple Pay,Jacksonville,FL,United States
ORD000241,CUST02865,2024-09-30 02:09:01,Shipped,Apple Pay,Springfield,IL,United States
ORD000242,CUST01905,2024-05-28 20:17:55,Processing,Debit Card,New York,NY,United States
ORD000243,CUST03610,2025-01-06 05:57:21,Processing,Apple Pay,Orlando,FL,United States
ORD000244,CUST00648,2024-10-12 03:14:16,Delivered,Apple Pay,Orlando,FL,United States
ORD000245,CUST00977,2024-01-04 08:13:30,Delivered,Debit Card,Los Angeles,CA,United States
ORD000246,CUST00542,2024-09-12 11:19:10,Delivered,PayPal,Orlando,FL,United States
ORD000247,CUST04330,2024-01-03 00:39:15,Shipped,Credit Card,Richmond,VA,United States
ORD000248,CUST01381,2025-01-04 04:16:32,Delivered,Credit Card,Tacoma,WA,United States
ORD000249,CUST04754,2024-03-17 16:58:08,Shipped,Debit Card,Alexandria,VA,United States
ORD000250,CUST00809,2024-07-10 23:07:45,Delivered,Debit Card,Tampa,FL,United States
ORD000251,CUST04838,2024-02-23 10:36:47,Delivered,Credit Card,Houston,TX,United States
ORD000252,CUST04278,2025-03-30 04:46:50,Shipped,Apple Pay,Spokane,WA,United States
ORD000253,CUST04754,2024-03-01 14:01:07,Shipped,Debit Card,Alexandria,VA,United States
ORD000254,CUST03686,2024-08-14 11:38:30,Delivered,Apple Pay,Tampa,FL,United States
ORD000255,CUST01835,2024-10-16 08:41:40,Delivered,PayPal,Bellevue,WA,United States
ORD000256,CUST04097,2024-07-26 12:18:00,Delivered,Apple Pay,Naperville,IL,United States
ORD000257,CUST02945,2024-03-20 02:57:43,Cancelled,Debit Card,Virginia Beach,VA,United States
ORD000258,CUST04592,2024-10-25 06:05:48,Shipped,Credit Card,Tacoma,WA,United States
ORD000259,CUST04096,2024-07-22 22:31:07,Shipped,Credit Card,San Jose,CA,United States
ORD000260,CUST04926,2025-02-05 00:22:10,Delivered,Debit Card,Rochester,NY,United States
ORD000261,CUST02406,2024-11-15 02:52:00,Delivered,Apple Pay,Austin,TX,United States
ORD000262,CUST01298,2024-05-30 22:11:47,Delivered,PayPal,San Diego,CA,United States
ORD000263,CUST02180,2024-01-06 18:24:10,Delivered,Debit Card,Peoria,IL,United States
ORD000264,CUST00973,2024-08-25 04:02:55,Delivered,PayPal,Richmond,VA,United States
ORD000265,CUST00184,2024-03-17 06:16:46,Delivered,Credit Card,New York,NY,United States
ORD000266,CUST03340,2025-03-03 12:34:38,Delivered,PayPal,Los Angeles,CA,United States
ORD000267,CUST01692,2024-06-23 13:15:33,Delivered,Apple Pay,New York,NY,United States
ORD000268,CUST03376,2025-01-01 11:12:14,Delivered,PayPal,San Jose,CA,United States
ORD000269,CUST01711,2024-06-15 06:31:48,Processing,PayPal,Austin,TX,United States
ORD000270,CUST01893,2024-07-22 09:27:12,Delivered,Apple Pay,Albany,NY,United States
ORD000271,CUST02257,2024-10-07 15:46:20,Delivered,Credit Card,Virginia Beach,VA,United States
ORD000272,CUST00322,2025-03-30 13:47:06,Processing,Debit Card,Tampa,FL,United States
ORD000273,CUST04775,2024-02-23 06:17:51,Delivered,PayPal,Seattle,WA,United States
ORD000274,CUST00803,2024-10-21 05:45:39,Delivered,PayPal,San Antonio,TX,United States
ORD000275,CUST01731,2024-05-02 20:37:38,Shipped,Debit Card,Austin,TX,United States
ORD000276,CUST03511,2024-07-03 17:49:32,Shipped,Credit Card,Alexandria,VA,United States
ORD000277,CUST04702,2025-01-15 03:56:14,Delivered,Debit Card,San Diego,CA,United States
ORD000278,CUST01958,2025-01-23 19:22:11,Delivered,Debit Card,Richmond,VA,United States
ORD000279,CUST01003,2024-12-15 20:51:55,Delivered,Apple Pay,San Francisco,CA,United States
ORD000280,CUST01224,2024-05-01 08:18:56,Processing,PayPal,Tacoma,WA,United States
ORD000281,CUST03059,2024-05-06 12:49:26,Delivered,Apple Pay,Seattle,WA,United States
ORD000282,CUST00230,2024-10-21 09:14:11,Delivered,Apple Pay,Dallas,TX,United States
ORD000283,CUST00793,2024-07-23 07:05:05,Delivered,Apple Pay,Richmond,VA,United States
ORD000284,CUST02334,2024-11-25 23:15:56,Delivered,Debit Card,Norfolk,VA,United States
ORD000285,CUST03546,2024-04-12 16:29:35,Cancelled,Debit Card,Seattle,WA,United States
ORD000286,CUST00061,2024-05-22 09:23:58,Delivered,Credit Card,Orlando,FL,United States
ORD000287,CUST01447,2024-10-23 08:58:58,Delivered,PayPal,Alexandria,VA,United States
ORD000288,CUST04507,2024-11-29 21:58:44,Delivered,PayPal,Virginia Beach,VA,United States
ORD000289,CUST00005,2024-02-23 15:36:43,Processing,Debit Card,San Francisco,CA,United States
ORD000290,CUST03634,2024-03-04 09:25:53,Delivered,PayPal,Albany,NY,United States
ORD000291,CUST00421,2025-03-16 20:22:37,Processing,Debit Card,Chicago,IL,United States
ORD000292,CUST00036,2024-10-31 18:15:37,Delivered,Debit Card,Dallas,TX,United States
ORD000293,CUST04861,2024-05-20 05:15:00,Delivered,PayPal,Spokane,WA,United States
ORD000294,CUST00093,2024-03-26 11:28:27,Delivered,Credit Card,Jacksonville,FL,United States
